First_pokemon,First name,Second_pokemon,Second name,Winner,Loser,First power,Second power,Power diff,Winner type1,Loser type1
266,Larvitar,298,Nuzleaf,298,266,300,340,40,Grass,Rock
702,Virizion,701,Terrakion,701,702,580,580,0,Rock,Grass
191,Togetic,668,Beheeyem,668,191,405,485,80,Psychic,Fairy
237,Slugma,683,Druddigon,683,237,250,485,235,Dragon,Fire
151,Omastar,231,Shuckle,151,231,495,505,-10,Rock,Bug
657,Joltik,752,Aegislash Shield Forme,657,752,319,520,-201,Bug,Steel
192,Natu,134,Jynx,134,192,320,455,135,Ice,Psychic
73,Machop,545,Giratina Altered Forme,545,73,305,680,375,Ghost,Fighting
220,Pineco,763,Clauncher,763,220,290,330,40,Water,Bug
302,Wingull,31,Pikachu,31,302,270,320,50,Electric,Water
442,Starly,130,Staryu,130,442,245,340,95,Water,Normal
701,Terrakion,624,Yamask,701,624,580,303,277,Rock,Ghost
15,Metapod,283,Swampert,283,15,205,535,330,Water,Bug
151,Omastar,87,Slowbro,151,87,495,490,5,Rock,Water
269,Mega Tyranitar,462,Mothim,269,462,700,424,276,Rock,Bug
763,Clauncher,448,Kricketune,448,763,330,384,54,Bug,Water
143,Lapras,263,Raikou,263,143,535,580,45,Electric,Water
365,Swablu,240,Piloswine,240,365,310,450,140,Ice,Normal
499,Mega Lucario,774,Carbink,499,774,625,500,125,Fighting,Rock
563,Samurott,578,Musharna,563,578,528,487,41,Water,Psychic
440,Prinplup,687,Bisharp,687,440,405,490,85,Dark,Water
373,Whiscash,441,Empoleon,441,373,468,530,62,Water,Water
654,Frillish,671,Chandelure,671,654,335,520,185,Ghost,Water
121,Rhydon,355,Mega Camerupt,121,355,485,560,-75,Ground,Fire
609,Petilil,649,Emolga,649,609,280,428,148,Electric,Grass
270,Lugia,708,Zekrom,270,708,680,680,0,Psychic,Dragon
460,Wormadam Sandy Cloak,568,Stoutland,568,460,424,500,76,Normal,Bug
626,Tirtouga,767,Tyrunt,767,626,355,362,7,Rock,Water
139,Tauros,451,Luxray,139,451,490,523,-33,Normal,Electric
694,Durant,747,Meowstic Male,694,747,484,466,18,Bug,Psychic
455,Rampardos,549,Manaphy,549,455,495,600,105,Water,Rock
181,Ledian,301,Swellow,301,181,390,430,40,Normal,Bug
208,Sunflora,184,Crobat,184,208,425,535,110,Poison,Grass
536,Fan Rotom,365,Swablu,536,365,520,310,210,Electric,Normal
260,Magby,381,Armaldo,381,260,365,495,130,Rock,Fire
471,Gastrodon,269,Mega Tyranitar,269,471,475,700,225,Rock,Water
621,Scraggy,287,Zigzagoon,287,621,348,240,-108,Normal,Dark
406,Luvdisc,134,Jynx,406,134,330,455,-125,Water,Ice
592,Mega Audino,503,Drapion,503,592,545,500,-45,Poison,Normal
564,Patrat,242,Remoraid,242,564,255,300,45,Water,Normal
579,Pidove,242,Remoraid,242,579,264,300,36,Water,Normal
200,Azumarill,719,Chespin,200,719,420,313,107,Water,Grass
376,Baltoy,135,Electabuzz,376,135,300,490,-190,Ground,Electric
76,Bellsprout,441,Empoleon,441,76,300,530,230,Water,Grass
667,Elgyem,645,Vanillish,645,667,335,395,60,Ice,Psychic
475,Buneary,400,Sealeo,475,400,350,410,-60,Normal,Ice
3,Venusaur,737,Pyroar,737,3,525,507,-18,Fire,Grass
