First_pokemon,Second_pokemon,Winner,FirstWins,FType1,FType2,SType1,SType2,DifHP,DifAttack,DifDefense,DifSpAttack,DifSpDefense,DifSpeed,DifTotal
266,298,298,0,Rock,Ground,Grass,Dark,-20,-6,10,-15,10,-19,-40
702,701,701,0,Grass,Fighting,Rock,Fighting,0,-39,-18,18,39,0,0
191,668,668,0,Fairy,Flying,Psychic,NA,-20,-35,10,-45,10,0,-80
237,683,683,0,Fire,NA,Dragon,NA,-37,-80,-50,10,-50,-28,-235
151,231,151,1,Rock,Water,Bug,Rock,50,50,-105,105,-160,50,-10
657,752,657,1,Bug,Electric,Steel,Ghost,-10,-3,-100,7,-100,5,-201
192,134,134,0,Psychic,Flying,Ice,Psychic,-25,0,10,-45,-50,-25,-135
73,545,545,0,Fighting,NA,Ghost,Dragon,-80,-20,-70,-65,-85,-55,-375
220,763,763,0,Bug,NA,Water,NA,0,12,28,-23,-28,-29,-40
302,31,31,0,Water,Flying,Electric,NA,5,-25,-10,5,-20,-5,-50
442,130,130,0,Normal,Flying,Water,NA,10,10,-25,-40,-25,-25,-95
701,624,701,1,Rock,Fighting,Ghost,NA,53,99,5,17,25,78,277
15,283,283,0,Bug,NA,Water,Ground,-50,-90,-35,-60,-65,-30,-330
151,87,151,1,Rock,Water,Water,Psychic,-25,-15,15,15,-10,25,5
269,462,269,1,Rock,Dark,Bug,Flying,30,70,100,1,70,5,276
763,448,448,0,Water,NA,Bug,NA,-27,-32,11,3,12,-21,-54
143,263,263,0,Water,Ice,Electric,NA,40,0,5,-30,-5,-55,-45
365,240,240,0,Normal,Flying,Ice,Ground,-55,-60,-20,-20,15,0,-140
499,774,499,1,Fighting,Steel,Rock,Fairy,20,95,-62,90,-80,62,125
563,578,563,1,Water,NA,Psychic,NA,-21,45,0,1,-25,41,41
440,687,687,0,Water,NA,Dark,Steel,-1,-59,-32,21,6,-20,-85
373,441,441,0,Water,Ground,Water,Steel,26,-8,-15,-35,-30,0,-62
654,671,671,0,Water,Ghost,Ghost,Fire,-5,-15,-40,-80,-5,-40,-185
121,355,121,1,Ground,Rock,Fire,Ground,35,10,20,-100,-60,20,-75
609,649,649,0,Grass,NA,Electric,Flying,-10,-40,-10,-5,-10,-73,-148
270,708,270,1,Psychic,Flying,Dragon,Electric,6,-60,10,-30,54,20,0
460,568,568,0,Bug,Ground,Normal,NA,-25,-31,15,14,-5,-44,-76
626,767,767,0,Water,Rock,Rock,Dragon,-4,-11,26,8,0,-26,-7
139,451,139,1,Normal,NA,Electric,NA,-5,-20,16,-55,-9,40,-33
694,747,694,1,Bug,Steel,Psychic,NA,-16,61,36,-35,-33,5,18
455,549,549,0,Rock,NA,Water,NA,-3,65,-40,-35,-50,-42,-105
181,301,301,0,Bug,Flying,Normal,Flying,-5,-50,-10,5,60,-40,-40
208,184,184,0,Grass,NA,Poison,Flying,-10,-15,-25,35,5,-100,-110
536,365,536,1,Electric,Flying,Normal,Flying,5,25,47,65,32,36,210
260,381,381,0,Fire,NA,Rock,Bug,-30,-50,-63,0,-25,38,-130
471,269,269,0,Water,Ground,Rock,Dark,11,-81,-82,-3,-38,-32,-225
621,287,287,0,Dark,Fighting,Normal,NA,12,45,29,5,29,-12,108
406,134,406,1,Water,NA,Ice,Psychic,-22,-20,20,-75,-30,2,-125
592,503,503,0,Normal,Fairy,Poison,Dark,33,-30,16,20,51,-45,45
564,242,242,0,Normal,NA,Water,NA,10,-10,4,-30,4,-23,-45
579,242,242,0,Normal,Flying,Water,NA,15,-10,15,-29,-5,-22,-36
200,719,200,1,Water,Fairy,Grass,NA,44,-11,15,12,35,12,107
376,135,376,1,Ground,Psychic,Electric,NA,-25,-43,-2,-55,-15,-50,-190
76,441,441,0,Grass,Poison,Water,Steel,-34,-11,-53,-41,-71,-20,-230
667,645,645,0,Psychic,NA,Ice,NA,4,-10,-10,5,-20,-29,-60
475,400,475,1,Normal,NA,Ice,Water,-35,6,-26,-31,-14,40,-60
3,737,737,0,Grass,Poison,Fire,Normal,-6,14,11,-9,34,-26,18
435,45,435,1,Grass,Ground,Normal,Fairy,-20,64,85,30,60,36,255
231,146,146,0,Bug,Rock,Water,NA,-110,-55,170,-100,135,-60,-20
510,715,715,0,Grass,Ice,Water,Fighting,-31,-10,-40,-67,-30,-68,-246
456,260,260,0,Rock,Steel,Fire,NA,-15,-33,81,-28,33,-53,-15
164,751,751,0,Psychic,Fighting,Steel,Ghost,46,40,50,4,50,70,260
424,754,424,1,Ground,NA,Fairy,NA,-1,78,68,1,1,61,208
258,779,258,1,Ice,Psychic,Ghost,Grass,2,-40,-33,35,5,27,-4
360,208,208,0,Ground,NA,Grass,NA,-30,25,-10,-60,-40,-20,-135
723,646,646,0,Fire,NA,Ice,NA,-12,-36,-27,-20,-25,-6,-126
384,533,533,0,Normal,NA,Electric,Fire,20,5,-37,-35,-37,-16,-100
734,673,673,0,Bug,NA,Dragon,NA,-21,-95,-10,-13,-20,-38,-197
141,721,141,1,Water,Flying,Grass,Fighting,7,18,-43,-14,25,17,10
244,741,244,1,Ice,Flying,Grass,NA,-21,-10,-3,3,-12,23,-20
509,217,509,1,Water,Flying,Psychic,NA,-3,-52,2,-12,72,2,9
633,44,633,1,Dark,NA,Fire,NA,-13,29,-15,39,-40,5,5
595,719,595,1,Fighting,NA,Grass,NA,49,79,30,7,20,7,192
606,40,606,1,Bug,Poison,Poison,Ground,-21,-2,12,-30,-6,27,-20
368,598,368,1,Normal,NA,Water,Ground,-32,20,-15,-25,-15,16,-51
746,584,746,1,Psychic,NA,Rock,NA,7,-27,-31,38,35,53,75
350,187,350,1,Water,Dark,Electric,NA,50,100,55,75,30,45,355
303,198,303,1,Water,Flying,Grass,NA,-15,-30,5,-5,-30,15,-60
169,701,701,0,Grass,NA,Rock,Fighting,-11,-47,10,11,10,-28,-55
569,115,115,0,Dark,NA,Fighting,NA,-9,-70,-16,15,-73,-21,-174
231,172,172,0,Bug,Rock,Fire,NA,-58,-74,152,-99,145,-95,-29
71,440,71,1,Psychic,NA,Water,NA,-9,-16,-23,54,19,70,95
659,610,610,0,Grass,Steel,Grass,NA,-26,-10,16,-86,11,-80,-175
570,557,557,0,Dark,NA,Grass,NA,-11,13,-45,13,-45,-7,-82
712,40,712,1,Dragon,Ice,Poison,Ground,44,68,23,35,15,10,195
451,352,451,1,Electric,NA,Water,NA,-90,30,34,5,34,10,23
661,95,95,0,Steel,NA,Water,Ice,-50,-15,-10,-25,-35,-40,-175
540,4,540,1,Psychic,NA,Grass,Poison,-5,25,-53,3,-50,35,-45
130,319,130,1,Water,NA,Normal,NA,-54,-26,12,-1,12,37,-20
125,418,418,0,Normal,NA,Dragon,Psychic,25,45,10,-50,-30,-10,-10
309,276,276,0,Bug,Flying,Grass,Dragon,0,-50,-13,-65,-3,-85,-216
579,612,612,0,Normal,Flying,Ground,Dark,0,-17,15,1,-5,-22,-28
716,80,80,0,Normal,Psychic,Water,Poison,20,7,12,48,8,-10,85
482,535,535,0,Psychic,NA,Electric,Ice,-5,-35,-57,-40,-57,-41,-235
376,37,37,0,Ground,Psychic,Poison,Ground,-50,-52,-32,-35,-15,-21,-205
6,328,328,0,Fire,NA,Dark,Ghost,8,-21,-67,-5,-50,60,-75
343,159,159,0,Bug,NA,Fire,Flying,-25,-27,-35,-78,-10,-5,-180
509,574,574,0,Water,Flying,Fire,NA,-30,-78,-13,-38,57,-51,-153
546,530,546,1,Ghost,Dragon,Ghost,NA,105,20,-35,55,-35,45,155
486,229,229,0,Steel,Psychic,Bug,Steel,-3,-41,16,24,36,-32,0
686,213,213,0,Dark,Steel,Dark,NA,-50,20,-40,-20,-90,-5,-185
